Simulation,Iteration,S=0,S=1,S=2
1,0,0.2879612081446804,0.4080828115263542,0.3039559803289654
1,1,0.3021561015917251,0.38166551521708153,0.31617838319119335
1,2,0.3013488405361277,0.4136545205397161,0.2849966389241562
1,3,0.31225319767287046,0.37369352022248664,0.314053282104643
1,4,0.28578410239186486,0.40358369284855616,0.3106322047595789
1,5,0.27801545732244515,0.41283401233319117,0.3091505303443636
1,6,0.3085024870139879,0.38205533967895705,0.30944217330705504
1,7,0.29068584873572867,0.3906440213406242,0.3186701299236471
1,8,0.26875676487787054,0.38912042985629025,0.34212280526583916
1,9,0.2920799838192459,0.39119477264372104,0.316725243537033
1,10,0.27982201103642185,0.4025336455954014,0.31764434336817676
1,11,0.3118002559746549,0.3844131525067415,0.30378659151860354
1,12,0.30150151882907333,0.3752230245976421,0.3232754565732846
1,13,0.30360404741632413,0.3701769195791338,0.326219033004542
1,14,0.3040819706931472,0.37046704279491105,0.32545098651194176
1,15,0.2977404577649455,0.3645623562879905,0.3376971859470639
1,16,0.2899620526833841,0.38982290927378765,0.32021503804282814
1,17,0.29360309088841996,0.3822418927426273,0.32415501636895266
1,18,0.28213635308692936,0.380131944064798,0.33773170284827264
1,19,0.27579107550577775,0.39584819416651673,0.3283607303277055
1,20,0.30091236676703315,0.3652591201278806,0.3338285131050863
1,21,0.2847204418396243,0.3722380522812484,0.3430415058791274
1,22,0.3029163520775127,0.37959201739011056,0.3174916305323767
1,23,0.27815480306961693,0.3960323016201061,0.32581289531027685
1,24,0.2920973215248704,0.3707093264128433,0.33719335206228634
1,25,0.2751123505792216,0.3800657387603443,0.3448219106604341
1,26,0.28364967084622084,0.37439712464194475,0.34195320451183453
1,27,0.2931615689886219,0.371270469071693,0.33556796193968513
1,28,0.28613249844572974,0.37237660972210584,0.3414908918321644
1,29,0.2984813048707353,0.3530280754606306,0.34849061966863415
1,30,0.27624878143705534,0.37045095561224595,0.3533002629506988
1,31,0.27210300122731534,0.3687181988149452,0.3591787999577395
1,32,0.2935733084872254,0.3593579722415999,0.3470687192711747
1,33,0.303245239368549,0.3597524589960239,0.3370023016354271
1,34,0.2670090568491743,0.3698207699486787,0.36317017320214695
1,35,0.28689931729823,0.37344648962828547,0.33965419307348466
1,36,0.27519300539400793,0.3464155075757674,0.37839148703022457
1,37,0.26285632110273327,0.37650672820126463,0.36063695069600216
1,38,0.26939749303040983,0.3739256462848963,0.3566768606846939
1,39,0.26472590561344994,0.35862301048377526,0.37665108390277474
1,40,0.27134836475561996,0.3650340656318673,0.3636175696125128
1,41,0.26488881103231726,0.3504569270633611,0.38465426190432167
1,42,0.26458918619446464,0.34640905918988324,0.3890017546156522
1,43,0.26523370666759777,0.3607607945428142,0.374005498789588
1,44,0.2798411412311848,0.34658377779073474,0.3735750809780803
1,45,0.28614211676587675,0.3508330443732762,0.363024838860847
1,46,0.2750300462407972,0.34170406801669234,0.38326588574251036
1,47,0.28338010316558343,0.3601366493408499,0.3564832474935667
1,48,0.2813420385650118,0.3612693701522197,0.3573885912827687
1,49,0.2843210833438261,0.3482412966870929,0.36743761996908086
1,50,0.2695859288073906,0.3539611329816058,0.3764529382110036
1,51,0.2832354960205707,0.34101749711186885,0.37574700686756035
1,52,0.26640502616064693,0.3370736466019401,0.39652132723741296
1,53,0.266669739883189,0.3532625644625886,0.38006769565422244
1,54,0.2776343835258237,0.3387003614448838,0.3836652550292925
1,55,0.25941260292272417,0.3525766365098617,0.38801076056741396
1,56,0.26478753472138367,0.3375065760065101,0.39770588927210604
1,57,0.2404990716511536,0.3564300360078834,0.40307089234096305
1,58,0.30071026262259715,0.32697774720050327,0.37231199017689964
1,59,0.26437942421242844,0.357404555770296,0.3782160200172756
1,60,0.2934031810141501,0.32670177408280004,0.37989504490304987
1,61,0.26746756532054533,0.32790293387129893,0.4046295008081556
1,62,0.2850945188766151,0.2909432014195888,0.42396227970379613
1,63,0.25822143597788055,0.3640396271459303,0.3777389368761892
1,64,0.2665346398468993,0.3382050259965713,0.3952603341565293
1,65,0.2699735700784116,0.3147247780365989,0.4153016518849896
1,66,0.27682094249324996,0.3166762654918856,0.40650279201486444
1,67,0.2708733941497231,0.3168069401046281,0.4123196657456488
1,68,0.25497868502706483,0.335290406668561,0.40973090830437414
1,69,0.2713050874976102,0.31755821146830515,0.4111367010340846
1,70,0.24789453413157847,0.33690092785185205,0.41520453801656954
1,71,0.2628099500062725,0.34286639698319116,0.3943236530105363
1,72,0.2796515428537704,0.310019086384152,0.4103293707620776
1,73,0.2765335675048442,0.3151187605169823,0.40834767197817345
1,74,0.2560018491368336,0.34328104916397467,0.40071710169919167
1,75,0.26272456689539425,0.3498374915926391,0.38743794151196664
1,76,0.24683797698852855,0.33982194195396487,0.41334008105750664
1,77,0.27941462707875364,0.33301409743246724,0.3875712754887791
1,78,0.2409697163321978,0.32505703199947583,0.4339732516683264
1,79,0.2504850410124895,0.3336924536442093,0.4158225053433012
1,80,0.257546435217057,0.31480944201615974,0.4276441227667833
1,81,0.2701556976854324,0.30234314090186565,0.4275011614127019
1,82,0.2578902716998389,0.309821332301474,0.4322883959986872
1,83,0.2605920844704576,0.3021697140400715,0.4372382014894709
1,84,0.23529240604036022,0.3305257133293459,0.43418188063029384
1,85,0.26406567755611604,0.31842498149608034,0.4175093409478036
1,86,0.22663124020725306,0.33630001835597884,0.4370687414367681
1,87,0.2547425149489554,0.3076923263948053,0.43756515865623935
1,88,0.2421156209483461,0.30854418146489476,0.4493401975867591
1,89,0.22815905942765283,0.31766446941287674,0.4541764711594704
1,90,0.25217893545125925,0.3051217909564133,0.4426992735923275
1,91,0.2525521781602687,0.2832855776227363,0.46416224421699515
1,92,0.2679734171386642,0.3048743946235555,0.4271521882377803
1,93,0.25512352697795576,0.31691646906672527,0.427960003955319
1,94,0.26528377438734874,0.3123646986955121,0.4223515269171392
1,95,0.2667426748282787,0.29272986900981085,0.44052745616191064
1,96,0.25105779707502907,0.31121863482083334,0.43772356810413754
1,97,0.25933812222448677,0.29734795454690194,0.4433139232286114
1,98,0.26048848681085945,0.3259528028107755,0.4135587103783651
1,99,0.23030193679137756,0.3179373063628136,0.45176075684580885
2,0,0.2733359530592279,0.4168512845743279,0.3098127623664442
2,1,0.3025085890847884,0.3930040710864294,0.30448733982878223
2,2,0.3029607814300211,0.3731906980267171,0.32384852054326185
2,3,0.28215760304250487,0.4071559710433297,0.31068642591416545
2,4,0.30731935712429204,0.4017646937780762,0.29091594909763174
2,5,0.28527947645986473,0.40546522847124755,0.3092552950688878
2,6,0.29692976994848364,0.3909994050383294,0.31207082501318695
2,7,0.305843072302284,0.3899754049578662,0.30418152273984983
2,8,0.2607090052295734,0.40712848060273454,0.3321625141676921
2,9,0.2828440100888992,0.39787351378751845,0.31928247612358224
2,10,0.2903751311519794,0.3841773888096907,0.32544748003832985
2,11,0.28195599843967445,0.38728526772364363,0.33075873383668203
2,12,0.31254322214505653,0.37744295150891566,0.31001382634602787
2,13,0.28642435809844546,0.4036837198836958,0.30989192201785876
2,14,0.28822426346560287,0.3798788585720253,0.3318968779623719
2,15,0.2590830643484875,0.3960595962761871,0.3448573393753254
2,16,0.313634641049903,0.3702239272061423,0.3161414317439546
2,17,0.2872218440079539,0.3772994818229056,0.3354786741691404
2,18,0.2845789341359378,0.3774199995969592,0.3380010662671031
2,19,0.29055380141114595,0.3767136664896948,0.3327325320991592
2,20,0.2934316260119453,0.3827939418565312,0.32377443213152346
2,21,0.29860293865410065,0.3791146814777623,0.32228237986813707
2,22,0.32015437229984617,0.3884312072856994,0.29141442041445437
2,23,0.3018782261924831,0.37274531170231673,0.3253764621052003
2,24,0.2838213609659322,0.3822323959416927,0.333946243092375
2,25,0.2799600668848974,0.3644210704082081,0.3556188627068945
2,26,0.2812933957640886,0.38047951543705727,0.3382270887988541
2,27,0.2721508868901974,0.38422700146781025,0.3436221116419924
2,28,0.2908462179912062,0.3750518038545551,0.3341019781542387
2,29,0.2858347405446039,0.3737949973751412,0.34037026208025484
2,30,0.27527372040001097,0.35939314766237396,0.3653331319376151
2,31,0.26883504502133765,0.37277327773876145,0.35839167723990084
2,32,0.3004787368982823,0.3490575397252285,0.3504637233764893
2,33,0.27337438762487865,0.3844424635039555,0.34218314887116585
2,34,0.26624860938934936,0.3676596552634357,0.3660917353472149
2,35,0.26450643614731206,0.3540083807846016,0.3814851830680863
2,36,0.2606691545525529,0.36514623947797564,0.3741846059694714
2,37,0.28427779329404723,0.3860050261664494,0.32971718053950333
2,38,0.27670699242336405,0.3648548468185996,0.35843816075803636
2,39,0.2697327109341461,0.37530369596849683,0.354963593097357
2,40,0.294393439381509,0.35960449968857583,0.34600206092991515
2,41,0.283319607179914,0.37166553641923394,0.345014856400852
2,42,0.280268757292166,0.36736774225810165,0.3523635004497323
2,43,0.2958031130170529,0.3569076117723167,0.34728927521063047
2,44,0.2788147244539492,0.35596482446010663,0.3652204510859442
2,45,0.2846858816867302,0.35703620896038146,0.3582779093528883
2,46,0.27590534623238666,0.35268076211466987,0.3714138916529435
2,47,0.29487461161468653,0.32797348522029734,0.37715190316501607
2,48,0.25806725888647186,0.37408102390036374,0.36785171721316445
2,49,0.2535007707893134,0.37122105074455636,0.37527817846613026
2,50,0.2701376342435672,0.37882989542678513,0.3510324703296478
2,51,0.26151949584837375,0.35564784373969194,0.3828326604119343
2,52,0.2812667261554666,0.3634907565368706,0.3552425173076629
2,53,0.26862595332629163,0.35724271693478604,0.3741313297389224
2,54,0.27332288363888974,0.3453096126884304,0.3813675036726798
2,55,0.2654253829790609,0.3680730094721735,0.36650160754876576
2,56,0.25995217201501086,0.3435485223685835,0.3964993056164057
2,57,0.2634159992211114,0.3367149613595144,0.39986903941937424
2,58,0.2792444526203325,0.35629458094350014,0.3644609664361674
2,59,0.25831492335269757,0.35135360460697507,0.3903314720403274
2,60,0.26994697610657564,0.34765190315707983,0.3824011207363445
2,61,0.2673175612695744,0.346247465979102,0.38643497275132355
2,62,0.26010962642716384,0.3461291779504278,0.3937611956224084
2,63,0.2866803287920262,0.35002886658902505,0.3632908046189488
2,64,0.24371511414645666,0.33433928637939586,0.4219455994741474
2,65,0.2541721377726104,0.3506224065685413,0.39520545565884835
2,66,0.28598478066922045,0.3371293147068154,0.376885904623964
2,67,0.25237527261317105,0.32361175433013895,0.42401297305668995
2,68,0.2728364647006911,0.3356741123359772,0.39148942296333167
2,69,0.25987385073964003,0.33375225922404245,0.4063738900363175
2,70,0.25632614387212993,0.3540053732952459,0.3896684828326242
2,71,0.2775740174151191,0.30262143144314024,0.4198045511417406
2,72,0.2600132074368648,0.3355372622001689,0.40444953036296644
2,73,0.25697975051497096,0.3354594708797827,0.40756077860524625
2,74,0.24555874819468357,0.32308946843502867,0.4313517833702878
2,75,0.26453833715895575,0.31789734428820676,0.41756431855283754
2,76,0.27383438551033734,0.31751807393754167,0.40864754055212094
2,77,0.2690532468953177,0.3242732308076614,0.406673522297021
2,78,0.2612825772980803,0.33342267506339074,0.4052947476385289
2,79,0.25632175778022026,0.3108846644232677,0.43279357779651206
2,80,0.26449785778820867,0.31466314504833953,0.4208389971634518
